date,customer_id,product,price,quantity,coupon_code,shipping_city
2026-01-01 00:00:00,CUST_1085,Headphones,1186.1,4,SAVE10,Toronto
2026-01-01 01:00:00,CUST_1012,Laptop,1162.77,5,NONE,Toronto
2026-01-01 02:00:00,CUST_1004,Keyboard,112.47,2,FREESHIP,Montreal
2026-01-01 03:00:00,CUST_1019,Monitor,418.89,1,FREESHIP,Ottawa
2026-01-01 04:00:00,CUST_1067,Laptop,690.65,5,SAVE10,Calgary
2026-01-01 05:00:00,CUST_1086,Laptop,136.22,1,FREESHIP,Ottawa
2026-01-01 06:00:00,CUST_1027,Keyboard,220.14,1,WELCOME20,Toronto
2026-01-01 07:00:00,CUST_1044,Headphones,1165.11,3,WELCOME20,Montreal
2026-01-01 08:00:00,CUST_1045,Mouse,576.82,2,NONE,Montreal
2026-01-01 09:00:00,CUST_1080,Laptop,1063.38,1,SAVE10,Toronto
2026-01-01 10:00:00,CUST_1086,Monitor,462.4,1,SAVE10,Montreal
2026-01-01 11:00:00,CUST_1014,Monitor,993.11,1,NONE,Toronto
2026-01-01 12:00:00,CUST_1013,Headphones,991.39,4,SAVE10,Calgary
2026-01-01 13:00:00,CUST_1098,Monitor,955.48,1,NONE,Ottawa
2026-01-01 14:00:00,CUST_1078,Laptop,202.83,5,SAVE10,Vancouver
2026-01-01 15:00:00,CUST_1090,Mouse,1023.25,2,SAVE10,Calgary
2026-01-01 16:00:00,CUST_1075,Headphones,658.16,5,SAVE10,Montreal
2026-01-01 17:00:00,CUST_1032,Mouse,363.78,1,WELCOME20,Montreal
2026-01-01 18:00:00,CUST_1042,Laptop,100.53,5,WELCOME20,Calgary
2026-01-01 19:00:00,CUST_1049,Mouse,51.11,2,NONE,Vancouver
2026-01-01 20:00:00,CUST_1062,Monitor,982.73,5,SAVE10,Calgary
2026-01-01 21:00:00,CUST_1075,Headphones,517.89,5,NONE,Montreal
2026-01-01 22:00:00,CUST_1071,Mouse,376.93,1,WELCOME20,Toronto
2026-01-01 23:00:00,CUST_1024,Laptop,1092.84,3,SAVE10,Montreal
2026-01-02 00:00:00,CUST_1071,Laptop,1140.66,5,WELCOME20,Vancouver
2026-01-02 01:00:00,CUST_1029,Headphones,888.62,2,WELCOME20,Calgary
2026-01-02 02:00:00,CUST_1070,Monitor,764.12,5,NONE,Calgary
2026-01-02 03:00:00,CUST_1048,Keyboard,20.37,4,FREESHIP,Montreal
2026-01-02 04:00:00,CUST_1027,Monitor,480.63,2,FREESHIP,Montreal
2026-01-02 05:00:00,CUST_1027,Monitor,131.52,5,FREESHIP,Ottawa
2026-01-02 06:00:00,CUST_1042,Headphones,653.28,3,NONE,Vancouver
2026-01-02 07:00:00,CUST_1010,Keyboard,374.4,3,WELCOME20,Ottawa
2026-01-02 08:00:00,CUST_1062,Headphones,105.57,5,FREESHIP,Ottawa
2026-01-02 09:00:00,CUST_1006,Keyboard,320.76,2,FREESHIP,Calgary
2026-01-02 10:00:00,CUST_1048,Keyboard,64.14,4,SAVE10,Vancouver
2026-01-02 11:00:00,CUST_1064,Monitor,885.68,3,NONE,Vancouver
2026-01-02 12:00:00,CUST_1091,Keyboard,981.81,5,FREESHIP,Vancouver
2026-01-02 13:00:00,CUST_1064,Laptop,808.53,1,SAVE10,Vancouver
2026-01-02 14:00:00,CUST_1015,Headphones,239.69,2,NONE,Montreal
2026-01-02 15:00:00,CUST_1036,Monitor,900.7,5,SAVE10,Montreal
2026-01-02 16:00:00,CUST_1013,Mouse,656.29,3,NONE,Vancouver
2026-01-02 17:00:00,CUST_1070,Keyboard,229.11,2,WELCOME20,Toronto
2026-01-02 18:00:00,CUST_1018,Headphones,499.29,3,SAVE10,Vancouver
2026-01-02 19:00:00,CUST_1037,Keyboard,1025.65,2,WELCOME20,Ottawa
2026-01-02 20:00:00,CUST_1026,Mouse,410.26,5,SAVE10,Montreal
2026-01-02 21:00:00,CUST_1041,Mouse,396.73,3,WELCOME20,Calgary
2026-01-02 22:00:00,CUST_1001,Laptop,659.38,1,NONE,Calgary
2026-01-02 23:00:00,CUST_1029,Laptop,309.56,3,WELCOME20,Vancouver
2026-01-03 00:00:00,CUST_1016,Keyboard,908.21,4,SAVE10,Toronto
2026-01-03 01:00:00,CUST_1060,Keyboard,765.7,5,NONE,Vancouver
2026-01-03 02:00:00,CUST_1018,Monitor,667.38,4,WELCOME20,Ottawa
2026-01-03 03:00:00,CUST_1089,Laptop,166.14,3,NONE,Ottawa
2026-01-03 04:00:00,CUST_1080,Monitor,377.83,5,WELCOME20,Toronto
2026-01-03 05:00:00,CUST_1092,Keyboard,422.59,1,WELCOME20,Vancouver
2026-01-03 06:00:00,CUST_1085,Keyboard,1182.38,3,WELCOME20,Toronto
2026-01-03 07:00:00,CUST_1023,Headphones,1165.48,4,SAVE10,Vancouver
2026-01-03 08:00:00,CUST_1000,Monitor,85.43,3,SAVE10,Toronto
2026-01-03 09:00:00,CUST_1021,Laptop,214.96,3,SAVE10,Montreal
2026-01-03 10:00:00,CUST_1071,Keyboard,1050.59,5,NONE,Vancouver
2026-01-03 11:00:00,CUST_1001,Headphones,440.4,5,SAVE10,Toronto
2026-01-03 12:00:00,CUST_1038,Laptop,882.32,4,NONE,Montreal
2026-01-03 13:00:00,CUST_1017,Keyboard,648.93,3,FREESHIP,Ottawa
2026-01-03 14:00:00,CUST_1010,Laptop,922.68,5,SAVE10,Montreal
2026-01-03 15:00:00,CUST_1069,Keyboard,443.58,1,SAVE10,Toronto
2026-01-03 16:00:00,CUST_1021,Keyboard,976.11,1,SAVE10,Toronto
2026-01-03 17:00:00,CUST_1083,Mouse,1012.97,4,FREESHIP,Ottawa
2026-01-03 18:00:00,CUST_1047,Headphones,523.87,1,SAVE10,Vancouver
2026-01-03 19:00:00,CUST_1036,Headphones,1042.75,4,WELCOME20,Montreal
2026-01-03 20:00:00,CUST_1094,Monitor,1171.41,5,NONE,Montreal
2026-01-03 21:00:00,CUST_1011,Keyboard,619.76,1,SAVE10,Toronto
2026-01-03 22:00:00,CUST_1033,Keyboard,189.11,5,FREESHIP,Vancouver
2026-01-03 23:00:00,CUST_1060,Keyboard,589.33,5,NONE,Ottawa
2026-01-04 00:00:00,CUST_1008,Keyboard,558.69,4,FREESHIP,Vancouver
2026-01-04 01:00:00,CUST_1061,Mouse,153.97,3,WELCOME20,Calgary
2026-01-04 02:00:00,CUST_1040,Keyboard,106.09,3,SAVE10,Ottawa
2026-01-04 03:00:00,CUST_1045,Mouse,414.27,4,FREESHIP,Montreal
2026-01-04 04:00:00,CUST_1073,Monitor,784.94,2,NONE,Calgary
2026-01-04 05:00:00,CUST_1060,Headphones,803.4,3,NONE,Ottawa
2026-01-04 06:00:00,CUST_1094,Mouse,946.38,1,NONE,Montreal
2026-01-04 07:00:00,CUST_1076,Monitor,895.26,1,FREESHIP,Calgary
2026-01-04 08:00:00,CUST_1057,Laptop,708.7,1,NONE,Calgary
2026-01-04 09:00:00,CUST_1013,Laptop,541.86,4,NONE,Vancouver
2026-01-04 10:00:00,CUST_1028,Mouse,226.22,4,SAVE10,Ottawa
2026-01-04 11:00:00,CUST_1068,Headphones,216.13,3,NONE,Vancouver
2026-01-04 12:00:00,CUST_1036,Keyboard,1192.97,3,SAVE10,Calgary
2026-01-04 13:00:00,CUST_1070,Monitor,118.4,1,SAVE10,Calgary
2026-01-04 14:00:00,CUST_1041,Mouse,350.49,1,SAVE10,Vancouver
2026-01-04 15:00:00,CUST_1006,Keyboard,408.03,4,NONE,Montreal
2026-01-04 16:00:00,CUST_1020,Keyboard,613.29,2,NONE,Montreal
2026-01-04 17:00:00,CUST_1037,Laptop,643.52,4,FREESHIP,Ottawa
2026-01-04 18:00:00,CUST_1041,Laptop,518.96,4,SAVE10,Ottawa
2026-01-04 19:00:00,CUST_1013,Laptop,26.01,4,NONE,Ottawa
2026-01-04 20:00:00,CUST_1027,Headphones,1193.5,3,WELCOME20,Vancouver
2026-01-04 21:00:00,CUST_1050,Monitor,375.48,3,NONE,Vancouver
2026-01-04 22:00:00,CUST_1023,Keyboard,508.09,3,NONE,Ottawa
2026-01-04 23:00:00,CUST_1076,Monitor,202.84,3,NONE,Ottawa
2026-01-05 00:00:00,CUST_1099,Keyboard,1029.15,2,WELCOME20,Toronto
2026-01-05 01:00:00,CUST_1063,Headphones,81.59,5,WELCOME20,Ottawa
2026-01-05 02:00:00,CUST_1012,Keyboard,855.97,5,WELCOME20,Montreal
2026-01-05 03:00:00,CUST_1081,Monitor,812.15,1,SAVE10,Calgary
2026-01-05 04:00:00,CUST_1009,Headphones,792.28,3,WELCOME20,Montreal
2026-01-05 05:00:00,CUST_1024,Laptop,714.93,5,NONE,Ottawa
2026-01-05 06:00:00,CUST_1060,Laptop,433.67,2,WELCOME20,Calgary
2026-01-05 07:00:00,CUST_1058,Laptop,564.84,5,SAVE10,Toronto
2026-01-05 08:00:00,CUST_1073,Monitor,119.72,5,SAVE10,Toronto
2026-01-05 09:00:00,CUST_1040,Monitor,630.49,2,SAVE10,Ottawa
2026-01-05 10:00:00,CUST_1025,Keyboard,783.18,4,WELCOME20,Calgary
2026-01-05 11:00:00,CUST_1096,Keyboard,981.94,3,NONE,Toronto
2026-01-05 12:00:00,CUST_1032,Laptop,697.62,3,FREESHIP,Ottawa
2026-01-05 13:00:00,CUST_1078,Mouse,422.4,1,SAVE10,Ottawa
2026-01-05 14:00:00,CUST_1029,Mouse,422.17,3,SAVE10,Calgary
2026-01-05 15:00:00,CUST_1087,Keyboard,1100.57,2,SAVE10,Ottawa
2026-01-05 16:00:00,CUST_1029,Keyboard,1023.57,3,NONE,Ottawa
2026-01-05 17:00:00,CUST_1017,Monitor,616.97,2,WELCOME20,Toronto
2026-01-05 18:00:00,CUST_1022,Mouse,392.22,1,FREESHIP,Calgary
2026-01-05 19:00:00,CUST_1000,Mouse,942.83,3,NONE,Calgary
2026-01-05 20:00:00,CUST_1019,Laptop,1089.04,3,WELCOME20,Toronto
2026-01-05 21:00:00,CUST_1081,Mouse,1003.24,1,FREESHIP,Toronto
2026-01-05 22:00:00,CUST_1012,Monitor,167.29,1,SAVE10,Toronto
2026-01-05 23:00:00,CUST_1081,Keyboard,1135.94,1,NONE,Vancouver
2026-01-06 00:00:00,CUST_1078,Keyboard,1028.11,2,WELCOME20,Vancouver
2026-01-06 01:00:00,CUST_1019,Mouse,1086.31,3,NONE,Ottawa
2026-01-06 02:00:00,CUST_1078,Headphones,56.92,5,FREESHIP,Toronto
2026-01-06 03:00:00,CUST_1036,Headphones,424.33,1,SAVE10,Calgary
2026-01-06 04:00:00,CUST_1029,Monitor,447.95,4,SAVE10,Vancouver
2026-01-06 05:00:00,CUST_1065,Headphones,58.73,1,WELCOME20,Calgary
2026-01-06 06:00:00,CUST_1060,Keyboard,414.13,2,NONE,Toronto
2026-01-06 07:00:00,CUST_1066,Mouse,1173.54,1,FREESHIP,Vancouver
2026-01-06 08:00:00,CUST_1028,Headphones,491.75,3,NONE,Toronto
2026-01-06 09:00:00,CUST_1004,Laptop,353.8,3,WELCOME20,Vancouver
2026-01-06 10:00:00,CUST_1091,Laptop,47.19,4,SAVE10,Toronto
2026-01-06 11:00:00,CUST_1049,Monitor,1092.56,5,WELCOME20,Toronto
2026-01-06 12:00:00,CUST_1009,Laptop,629.89,4,FREESHIP,Calgary
2026-01-06 13:00:00,CUST_1043,Mouse,732.13,4,SAVE10,Calgary
2026-01-06 14:00:00,CUST_1031,Laptop,209.14,3,FREESHIP,Montreal
2026-01-06 15:00:00,CUST_1027,Monitor,835.29,4,SAVE10,Vancouver
2026-01-06 16:00:00,CUST_1047,Monitor,724.42,3,FREESHIP,Calgary
2026-01-06 17:00:00,CUST_1095,Headphones,248.74,4,WELCOME20,Calgary
2026-01-06 18:00:00,CUST_1011,Laptop,821.27,1,SAVE10,Ottawa
2026-01-06 19:00:00,CUST_1036,Mouse,1147.35,4,NONE,Calgary
2026-01-06 20:00:00,CUST_1067,Keyboard,259.14,1,SAVE10,Montreal
2026-01-06 21:00:00,CUST_1044,Monitor,37.84,4,SAVE10,Vancouver
2026-01-06 22:00:00,CUST_1004,Monitor,785.63,4,FREESHIP,Montreal
2026-01-06 23:00:00,CUST_1014,Mouse,237.79,2,FREESHIP,Toronto
2026-01-07 00:00:00,CUST_1000,Headphones,814.32,1,SAVE10,Ottawa
2026-01-07 01:00:00,CUST_1040,Keyboard,1187.11,1,FREESHIP,Ottawa
2026-01-07 02:00:00,CUST_1012,Keyboard,319.16,1,SAVE10,Vancouver
2026-01-07 03:00:00,CUST_1037,Laptop,1198.4,3,SAVE10,Vancouver
2026-01-07 04:00:00,CUST_1045,Headphones,31.3,3,SAVE10,Toronto
2026-01-07 05:00:00,CUST_1036,Headphones,924.38,1,FREESHIP,Montreal
2026-01-07 06:00:00,CUST_1039,Mouse,402.34,5,SAVE10,Montreal
2026-01-07 07:00:00,CUST_1084,Headphones,166.59,5,NONE,Ottawa
2026-01-07 08:00:00,CUST_1003,Keyboard,827.49,3,FREESHIP,Toronto
2026-01-07 09:00:00,CUST_1024,Mouse,565.92,1,NONE,Montreal
2026-01-07 10:00:00,CUST_1085,Laptop,357.6,5,SAVE10,Vancouver
2026-01-07 11:00:00,CUST_1038,Laptop,184.66,2,NONE,Vancouver
2026-01-07 12:00:00,CUST_1090,Keyboard,729.69,1,SAVE10,Calgary
2026-01-07 13:00:00,CUST_1079,Headphones,201.33,2,WELCOME20,Montreal
2026-01-07 14:00:00,CUST_1044,Monitor,437.2,2,SAVE10,Toronto
2026-01-07 15:00:00,CUST_1079,Keyboard,719.3,2,FREESHIP,Ottawa
2026-01-07 16:00:00,CUST_1090,Mouse,1042.11,2,FREESHIP,Toronto
2026-01-07 17:00:00,CUST_1038,Headphones,904.84,2,NONE,Montreal
2026-01-07 18:00:00,CUST_1078,Headphones,353.7,1,FREESHIP,Toronto
2026-01-07 19:00:00,CUST_1037,Keyboard,1055.22,4,SAVE10,Vancouver
2026-01-07 20:00:00,CUST_1083,Mouse,644.26,4,WELCOME20,Calgary
2026-01-07 21:00:00,CUST_1018,Mouse,1128.04,5,SAVE10,Vancouver
2026-01-07 22:00:00,CUST_1065,Laptop,917.45,1,FREESHIP,Vancouver
2026-01-07 23:00:00,CUST_1064,Mouse,562.59,4,SAVE10,Calgary
2026-01-08 00:00:00,CUST_1011,Monitor,1049.26,5,WELCOME20,Vancouver
2026-01-08 01:00:00,CUST_1034,Mouse,22.28,2,SAVE10,Ottawa
2026-01-08 02:00:00,CUST_1002,Laptop,312.1,5,NONE,Toronto
2026-01-08 03:00:00,CUST_1058,Headphones,1119.03,2,SAVE10,Toronto
2026-01-08 04:00:00,CUST_1026,Mouse,638.96,2,NONE,Calgary
2026-01-08 05:00:00,CUST_1081,Headphones,335.59,1,NONE,Toronto
2026-01-08 06:00:00,CUST_1095,Keyboard,696.11,1,WELCOME20,Montreal
2026-01-08 07:00:00,CUST_1061,Headphones,656.94,3,FREESHIP,Ottawa
2026-01-08 08:00:00,CUST_1067,Laptop,1006.01,1,WELCOME20,Montreal
2026-01-08 09:00:00,CUST_1035,Laptop,208.62,2,NONE,Ottawa
2026-01-08 10:00:00,CUST_1025,Laptop,584.36,5,FREESHIP,Ottawa
2026-01-08 11:00:00,CUST_1019,Monitor,78.1,2,FREESHIP,Vancouver
2026-01-08 12:00:00,CUST_1085,Mouse,397.3,5,NONE,Ottawa
2026-01-08 13:00:00,CUST_1039,Keyboard,706.71,2,WELCOME20,Ottawa
2026-01-08 14:00:00,CUST_1032,Headphones,673.54,1,FREESHIP,Montreal
2026-01-08 15:00:00,CUST_1087,Monitor,996.48,2,FREESHIP,Ottawa
2026-01-08 16:00:00,CUST_1001,Keyboard,57.83,5,FREESHIP,Ottawa
2026-01-08 17:00:00,CUST_1074,Monitor,936.55,2,NONE,Toronto
2026-01-08 18:00:00,CUST_1036,Laptop,1175.97,5,NONE,Ottawa
2026-01-08 19:00:00,CUST_1067,Keyboard,666.53,5,FREESHIP,Toronto
2026-01-08 20:00:00,CUST_1056,Headphones,853.92,4,WELCOME20,Ottawa
2026-01-08 21:00:00,CUST_1095,Mouse,1059.63,5,NONE,Ottawa
2026-01-08 22:00:00,CUST_1047,Keyboard,143.13,2,WELCOME20,Montreal
